low_fit_H_max_mT,high_fit_H_min_mT,H_star_mT,Jc_A_per_m2,low_points,high_points
0.2,1.25,0.2738162999982196,435792176.4384998,7,13
0.2,1.5,0.32244823431732006,513192303.8285521,7,12
0.2,1.75,0.3760304666150728,598471075.1494075,7,11
0.2,2.0,0.3760304666150728,598471075.1494075,7,11
0.25,1.25,0.2712513726101937,431709967.7137388,9,13
0.25,1.5,0.31944761710149366,508416673.206298,9,12
0.25,1.75,0.3725603021844681,592948136.9246836,9,11
0.25,2.0,0.3725603021844681,592948136.9246836,9,11
0.3,1.25,0.26950984541412665,428938241.09590834,10,13
0.3,1.5,0.31735255074214463,505082271.53433853,10,12
0.3,1.75,0.37008410955731486,589007153.958092,10,11
0.3,2.0,0.37008410955731486,589007153.958092,10,11
0.35,1.25,0.2814986818349522,448019066.8788537,11,13
0.35,1.5,0.33186914188077066,528186143.899902,11,12
0.35,1.75,0.3873227857022525,616443359.1663637,11,11
0.35,2.0,0.3873227857022525,616443359.1663637,11,11
